shipment_id,shipment_category,origin_city,destination_city,distance_km,transport_mode,weight_kg,volume_m3,delivery_time_days,cost_SAR,fuel_cost_SAR,carrier_type,delivery_status,pickup_datetime,dropoff_datetime,num_packages,customer_type
SH000033,furniture,Makkah,Khobar,222.6,motorbike,554.01,1.92,2,260.81,145.72,private_courier,on_time,2024-05-02 04:02:05,2024-05-04 04:02:05,3,B2C
SH000034,building_materials,Hail,Hail,22.5,small_van,969.5,4.92,1,48.07,21.92,private_courier,on_time,2025-02-27 21:13:07,2025-02-28 22:13:07,5,B2B
SH000035,food,Jazan,Jeddah,297.0,refrigerated_truck,97.79,0.27,2,1010.67,480.55,3PL,in_transit,2024-09-19 05:50:37,2024-09-21 06:50:37,2,B2B
SH000036,general_goods,Jazan,Jeddah,470.2,medium_truck,62.34,0.16,1,979.82,589.36,postal_service,on_time,2024-02-10 02:02:59,2024-02-11 05:02:59,2,retail
SH000037,furniture,Makkah,Abha,249.0,small_van,382.98,1.33,1,354.03,137.63,postal_service,in_transit,2024-12-11 06:34:03,2024-12-12 11:34:03,5,B2C
SH000038,general_goods,Tabuk,Jazan,65.2,heavy_truck,137.35,0.38,1,223.22,115.69,private_courier,delayed,2023-04-24 19:21:27,2023-04-26 03:21:27,2,B2B
SH000039,cars,Dammam,Madinah,309.2,motorbike,1773.73,8.73,1,351.4,169.11,3PL,in_transit,2024-07-28 00:58:06,2024-07-29 04:58:06,7,B2B
SH000040,building_materials,Hail,Makkah,463.1,heavy_truck,88.82,0.22,1,1235.18,554.13,private_courier,on_time,2025-05-11 13:04:18,2025-05-12 17:04:18,1,B2C
SH000041,electronics,Makkah,Jeddah,99.4,motorbike,71.37,0.27,1,116.08,42.05,3PL,on_time,2024-02-28 01:52:38,2024-02-29 05:52:38,2,B2B
SH000042,auto_parts,Khobar,Makkah,157.0,heavy_truck,26.68,0.1,1,484.32,175.22,in_house,delayed,2024-01-26 02:28:43,2024-01-27 02:28:43,4,B2C
SH000043,livestock,Makkah,Riyadh,345.0,motorbike,142.12,0.7,1,414.94,191.15,postal_service,on_time,2023-07-23 05:18:37,2023-07-24 09:18:37,2,B2B
SH000044,building_materials,Hail,Abha,175.3,heavy_truck,325.64,1.84,1,520.59,265.39,private_courier,on_time,2023-06-23 18:57:38,2023-06-24 19:57:38,2,B2B
SH000045,general_goods,Madinah,Jazan,102.6,heavy_truck,28.7,0.08,1,322.06,160.88,3PL,on_time,2024-10-29 15:36:36,2024-10-30 17:36:36,4,B2C
SH000046,cars,Madinah,Riyadh,310.6,cargo_van,1779.15,6.08,1,653.96,422.43,3PL,on_time,2024-01-23 15:08:34,2024-01-24 16:08:34,2,retail
SH000047,livestock,Jazan,Dammam,139.1,small_van,155.81,0.81,1,231.41,109.48,3PL,in_transit,2023-10-03 00:59:26,2023-10-04 06:59:26,5,B2C
SH000048,electronics,Madinah,Abha,122.2,refrigerated_truck,73.38,0.25,1,487.99,283.45,3PL,on_time,2024-02-19 11:14:16,2024-02-20 13:14:16,3,B2C
SH000049,livestock,Riyadh,Tabuk,249.1,small_van,115.66,0.61,1,382.72,172.6,3PL,on_time,2024-12-16 01:20:54,2024-12-17 06:20:54,3,retail
SH000050,furniture,Khobar,Riyadh,219.6,refrigerated_truck,589.44,2.2,1,773.3,351.59,3PL,in_transit,2024-09-10 23:53:18,2024-09-12 04:53:18,5,retail
SH000051,food,Makkah,Madinah,224.8,refrigerated_truck,44.21,0.24,1,775.84,309.78,in_house,delayed,2025-04-12 23:34:17,2025-04-14 04:34:17,6,B2C
SH000052,food,Makkah,Dammam,161.7,heavy_truck,6.91,0.03,1,495.0,306.84,postal_service,on_time,2023-03-01 10:19:54,2023-03-02 11:19:54,6,wholesale
SH000053,auto_parts,Madinah,Abha,260.7,heavy_truck,64.44,0.17,1,755.56,320.77,private_courier,delayed,2024-08-21 09:07:35,2024-08-22 12:07:35,2,retail
SH000054,general_goods,Abha,Riyadh,120.5,heavy_truck,101.91,0.28,1,349.6,164.03,3PL,delayed,2024-07-19 19:09:38,2024-07-21 01:09:38,3,B2C
SH000055,auto_parts,Jazan,Madinah,450.4,refrigerated_truck,160.65,0.68,1,1477.57,694.84,private_courier,on_time,2024-04-11 12:49:32,2024-04-12 20:49:32,5,retail
SH000056,livestock,Madinah,Abha,342.2,refrigerated_truck,227.95,0.6,1,1253.8,496.21,postal_service,on_time,2025-05-11 05:59:43,2025-05-12 07:59:43,6,B2B
SH000057,livestock,Abha,Dammam,220.7,heavy_truck,390.58,2.39,1,704.48,360.14,postal_service,in_transit,2024-09-22 19:34:46,2024-09-24 03:34:46,4,B2C
SH000058,cars,Makkah,Khobar,61.9,medium_truck,1450.85,5.28,1,216.43,135.15,postal_service,on_time,2024-12-23 08:00:58,2024-12-24 15:00:58,2,wholesale
SH000059,furniture,Hail,Tabuk,106.1,refrigerated_truck,432.3,1.7,1,415.83,219.81,3PL,on_time,2025-10-20 11:44:10,2025-10-21 12:44:10,4,retail
SH000060,auto_parts,Jeddah,Khobar,234.7,refrigerated_truck,343.12,1.0,1,800.73,406.22,postal_service,on_time,2023-12-15 23:12:39,2023-12-17 02:12:39,3,B2B
SH000061,general_goods,Riyadh,Khobar,77.2,medium_truck,25.52,0.16,1,214.01,76.64,private_courier,on_time,2024-12-08 11:08:43,2024-12-09 17:08:43,2,B2B
SH000062,livestock,Tabuk,Abha,426.3,small_van,151.89,0.72,1,649.38,274.66,3PL,delayed,2025-10-16 03:36:55,2025-10-17 03:36:55,5,B2C
SH000063,livestock,Khobar,Dammam,61.1,refrigerated_truck,536.89,2.28,1,315.61,135.84,in_house,on_time,2023-03-20 00:16:37,2023-03-21 08:16:37,6,B2B
SH000064,food,Tabuk,Dammam,56.5,medium_truck,97.87,0.38,1,179.49,77.29,postal_service,on_time,2024-11-18 12:19:59,2024-11-19 20:19:59,5,wholesale
SH000065,building_materials,Dammam,Tabuk,150.3,medium_truck,190.43,1.06,1,372.9,203.39,postal_service,delayed,2024-01-20 01:45:55,2024-01-21 05:45:55,1,wholesale
SH000066,furniture,Makkah,Tabuk,59.3,motorbike,754.19,3.89,1,92.29,43.9,postal_service,on_time,2023-12-31 06:33:15,2024-01-01 10:33:15,2,retail
SH000067,auto_parts,Hail,Jeddah,171.0,small_van,98.89,0.4,1,267.13,117.31,3PL,on_time,2023-12-26 06:03:10,2023-12-27 12:03:10,5,B2B
SH000068,furniture,Jeddah,Abha,117.5,medium_truck,219.93,0.74,1,315.46,183.37,postal_service,on_time,2025-04-22 22:00:34,2025-04-24 05:00:34,4,wholesale
SH000069,general_goods,Khobar,Abha,319.8,medium_truck,31.23,0.14,1,682.61,426.76,private_courier,on_time,2025-06-13 07:17:30,2025-06-14 13:17:30,7,wholesale
SH000070,general_goods,Madinah,Makkah,182.6,medium_truck,34.4,0.17,2,421.82,267.1,in_house,on_time,2025-04-16 02:19:01,2025-04-18 10:19:01,5,B2B
SH000071,building_materials,Khobar,Makkah,101.0,medium_truck,573.92,1.49,1,266.08,118.6,in_house,delayed,2023-02-15 02:07:25,2023-02-16 08:07:25,2,retail
SH000072,livestock,Dammam,Tabuk,217.2,small_van,243.69,0.74,1,338.76,150.61,private_courier,on_time,2024-09-04 02:08:23,2024-09-05 02:08:23,6,B2C
SH000073,livestock,Dammam,Tabuk,224.3,small_van,385.0,0.96,1,348.8,172.29,private_courier,on_time,2024-02-09 03:19:49,2024-02-10 09:19:49,7,retail
SH000074,furniture,Tabuk,Madinah,455.5,cargo_van,160.56,1.0,1,830.3,536.64,in_house,on_time,2024-03-08 06:09:30,2024-03-09 12:09:30,5,retail
SH000075,food,Tabuk,Riyadh,369.5,refrigerated_truck,42.16,0.14,1,1228.05,653.72,private_courier,on_time,2024-06-27 15:28:02,2024-06-28 18:28:02,2,B2C
SH000076,general_goods,Riyadh,Khobar,284.4,small_van,29.15,0.07,1,378.44,237.78,private_courier,in_transit,2025-08-23 05:04:20,2025-08-24 07:04:20,4,B2B
SH000077,electronics,Tabuk,Jeddah,149.0,heavy_truck,78.74,0.26,1,480.31,296.17,3PL,in_transit,2024-12-23 09:43:24,2024-12-24 13:43:24,5,retail
SH000078,electronics,Jazan,Jazan,12.1,refrigerated_truck,92.65,0.54,1,121.94,67.67,private_courier,on_time,2023-09-12 09:37:54,2023-09-13 13:37:54,7,B2C
SH000079,general_goods,Makkah,Jazan,299.1,refrigerated_truck,37.34,0.1,1,925.99,517.85,in_house,on_time,2024-09-08 04:20:57,2024-09-09 07:20:57,5,B2C
SH000080,furniture,Jeddah,Makkah,286.7,refrigerated_truck,252.78,1.33,1,963.5,577.75,private_courier,on_time,2025-05-29 03:29:41,2025-05-30 03:29:41,1,retail
SH000081,livestock,Madinah,Jeddah,339.0,heavy_truck,71.92,0.33,1,1069.7,408.73,postal_service,delayed,2023-01-20 15:42:22,2023-01-21 21:42:22,5,wholesale
SH000082,food,Abha,Madinah,242.5,refrigerated_truck,34.63,0.11,1,837.14,439.21,in_house,on_time,2023-08-26 15:55:24,2023-08-27 21:55:24,5,B2B
SH000083,cars,Jazan,Hail,265.0,medium_truck,1394.84,8.97,1,742.52,412.09,in_house,on_time,2024-11-07 15:23:38,2024-11-08 19:23:38,4,retail
SH000084,furniture,Jeddah,Makkah,204.9,medium_truck,158.7,0.5,1,513.49,221.82,3PL,in_transit,2024-12-22 21:35:14,2024-12-24 03:35:14,4,retail
SH000085,general_goods,Tabuk,Madinah,135.1,small_van,41.23,0.26,1,190.96,87.95,in_house,delayed,2023-11-26 12:24:04,2023-11-27 17:24:04,8,retail
SH000086,auto_parts,Makkah,Jazan,240.1,refrigerated_truck,135.47,0.76,1,821.33,336.87,postal_service,on_time,2025-05-13 09:23:29,2025-05-14 09:23:29,2,B2B
SH000087,food,Khobar,Abha,545.7,medium_truck,34.63,0.21,1,1236.94,611.03,3PL,on_time,2025-01-09 14:02:15,2025-01-10 21:02:15,4,wholesale
SH000088,general_goods,Jeddah,Makkah,110.3,small_van,48.17,0.26,1,172.74,89.46,in_house,on_time,2024-01-13 23:04:26,2024-01-15 03:04:26,2,retail
SH000089,building_materials,Hail,Hail,30.8,cargo_van,161.12,0.5,1,86.32,35.4,in_house,on_time,2025-05-04 23:58:10,2025-05-06 04:58:10,3,retail
SH000090,building_materials,Makkah,Makkah,52.7,cargo_van,395.39,1.13,1,127.43,75.84,3PL,on_time,2023-07-07 10:22:38,2023-07-08 13:22:38,4,retail
SH000091,food,Hail,Dammam,363.1,small_van,19.74,0.06,1,501.72,259.19,3PL,delayed,2025-01-22 04:13:54,2025-01-23 08:13:54,6,retail
SH000092,food,Khobar,Makkah,390.0,small_van,45.83,0.18,1,527.02,299.12,postal_service,on_time,2023-10-06 18:03:56,2023-10-07 22:03:56,6,B2C
SH000093,electronics,Makkah,Riyadh,596.2,motorbike,124.53,0.38,2,642.65,259.57,postal_service,on_time,2023-07-16 04:02:26,2023-07-18 11:02:26,4,B2C
SH000094,general_goods,Jazan,Makkah,193.5,medium_truck,103.47,0.35,1,441.25,188.61,in_house,on_time,2024-11-15 05:52:01,2024-11-16 10:52:01,4,B2B
SH000095,general_goods,Makkah,Tabuk,202.2,motorbike,60.5,0.29,1,188.99,75.65,private_courier,on_time,2024-09-14 11:27:22,2024-09-15 18:27:22,7,B2C
SH000096,general_goods,Dammam,Dammam,24.3,heavy_truck,47.28,0.12,1,123.29,47.67,postal_service,on_time,2023-05-13 07:46:27,2023-05-14 10:46:27,3,B2C
SH000097,livestock,Jazan,Jazan,18.5,heavy_truck,278.08,1.0,1,123.4,44.3,3PL,on_time,2025-03-22 18:54:58,2025-03-24 00:54:58,4,wholesale
SH000098,building_materials,Makkah,Jazan,270.5,medium_truck,579.71,1.79,1,620.11,392.77,postal_service,on_time,2025-06-02 08:02:35,2025-06-03 08:02:35,4,B2C
SH000099,furniture,Khobar,Makkah,240.2,refrigerated_truck,416.35,1.32,1,821.12,449.44,private_courier,in_transit,2023-09-01 23:30:46,2023-09-03 02:30:46,3,B2B
SH000100,food,Dammam,Riyadh,254.5,medium_truck,142.16,0.57,1,620.03,341.19,in_house,delayed,2025-07-11 10:53:09,2025-07-12 17:53:09,5,retail
SH000101,general_goods,Khobar,Makkah,86.1,refrigerated_truck,9.53,0.04,1,308.3,114.67,postal_service,on_time,2024-12-06 07:30:53,2024-12-07 08:30:53,6,B2B
SH000102,cars,Jazan,Khobar,144.1,medium_truck,1268.65,5.08,1,409.2,208.73,private_courier,on_time,2025-04-25 22:45:25,2025-04-27 01:45:25,4,B2B
SH000103,cars,Dammam,Jeddah,328.6,motorbike,1556.24,4.08,1,388.51,147.8,3PL,on_time,2024-04-22 20:35:58,2024-04-24 00:35:58,3,wholesale
SH000104,food,Tabuk,Makkah,294.1,refrigerated_truck,94.67,0.43,1,978.61,378.3,in_house,on_time,2024-02-27 22:04:25,2024-02-29 06:04:25,4,wholesale
SH000105,building_materials,Jeddah,Jazan,65.6,motorbike,414.31,1.18,1,80.01,50.84,in_house,on_time,2024-05-15 17:01:10,2024-05-16 21:01:10,5,B2C
SH000106,food,Khobar,Jazan,162.0,heavy_truck,40.08,0.12,1,507.01,302.58,private_courier,on_time,2024-02-23 16:05:57,2024-02-24 16:05:57,3,B2B
SH000107,building_materials,Hail,Tabuk,92.8,cargo_van,384.63,1.88,1,194.07,103.27,3PL,on_time,2025-06-28 06:40:12,2025-06-29 12:40:12,5,wholesale
SH000108,food,Tabuk,Madinah,194.7,medium_truck,12.46,0.04,2,464.39,180.42,postal_service,on_time,2024-05-13 17:55:09,2024-05-15 18:55:09,3,B2B
SH000109,auto_parts,Abha,Tabuk,146.0,cargo_van,39.6,0.24,1,298.11,183.05,in_house,on_time,2025-05-04 13:05:17,2025-05-05 13:05:17,6,wholesale
SH000110,food,Madinah,Makkah,67.8,cargo_van,27.36,0.07,1,157.53,87.74,private_courier,on_time,2024-09-19 20:44:17,2024-09-21 04:44:17,3,B2C
SH000111,building_materials,Abha,Riyadh,435.2,small_van,136.13,0.65,1,575.92,347.06,postal_service,on_time,2025-08-25 05:28:23,2025-08-26 12:28:23,3,wholesale
SH000112,general_goods,Khobar,Makkah,332.3,heavy_truck,82.74,0.37,1,872.54,399.66,3PL,on_time,2024-03-23 10:30:17,2024-03-24 17:30:17,5,wholesale
SH000113,food,Riyadh,Jazan,342.3,small_van,51.22,0.14,1,475.31,291.55,3PL,delayed,2024-04-27 17:36:17,2024-04-29 01:36:17,3,B2C
SH000114,livestock,Jeddah,Khobar,404.9,motorbike,291.38,0.74,1,447.16,266.84,in_house,on_time,2023-07-02 11:27:19,2023-07-03 13:27:19,6,wholesale
SH000115,cars,Hail,Makkah,102.2,medium_truck,1438.96,8.61,1,324.97,155.9,in_house,on_time,2025-01-03 13:37:46,2025-01-04 16:37:46,3,wholesale
SH000116,electronics,Abha,Khobar,220.5,heavy_truck,135.8,0.82,1,696.1,339.66,3PL,on_time,2023-04-19 10:42:30,2023-04-20 14:42:30,4,wholesale
SH000117,auto_parts,Hail,Makkah,142.8,motorbike,70.05,0.25,2,162.66,71.88,postal_service,on_time,2024-04-08 18:58:07,2024-04-11 01:58:07,4,B2B
SH000118,building_materials,Hail,Tabuk,409.7,cargo_van,141.11,0.42,1,707.62,250.01,postal_service,on_time,2025-05-07 08:58:21,2025-05-08 16:58:21,1,wholesale
SH000119,building_materials,Madinah,Khobar,347.1,refrigerated_truck,187.93,0.92,1,1095.22,563.37,3PL,on_time,2025-06-07 06:09:40,2025-06-08 12:09:40,3,B2B
SH000120,livestock,Riyadh,Madinah,209.3,refrigerated_truck,191.53,0.77,1,817.06,478.39,in_house,failed,2024-08-15 05:19:38,2024-08-16 11:19:38,5,B2B
SH000121,building_materials,Riyadh,Dammam,202.0,heavy_truck,536.63,1.44,1,572.04,289.18,postal_service,on_time,2023-06-05 21:51:48,2023-06-07 04:51:48,3,B2C
SH000122,building_materials,Riyadh,Dammam,236.1,medium_truck,253.62,1.66,1,550.95,314.73,3PL,on_time,2023-04-27 05:47:57,2023-04-28 12:47:57,4,retail
SH000123,auto_parts,Jazan,Abha,408.7,refrigerated_truck,136.26,0.8,2,1357.34,729.43,private_courier,on_time,2024-05-25 09:48:46,2024-05-27 17:48:46,2,wholesale
SH000124,auto_parts,Tabuk,Hail,129.0,motorbike,116.38,0.3,1,166.4,72.86,private_courier,in_transit,2023-12-31 16:52:08,2024-01-01 20:52:08,5,B2B
SH000125,food,Abha,Jeddah,294.7,refrigerated_truck,42.29,0.16,1,1001.8,422.97,private_courier,on_time,2024-11-20 05:32:07,2024-11-21 07:32:07,7,retail
SH000126,general_goods,Riyadh,Madinah,233.2,motorbike,40.97,0.12,1,241.27,131.94,postal_service,on_time,2024-07-10 20:28:55,2024-07-12 01:28:55,4,wholesale
SH000127,electronics,Khobar,Hail,269.9,medium_truck,28.78,0.1,1,681.63,359.29,3PL,on_time,2023-09-22 01:26:59,2023-09-23 03:26:59,6,B2C
SH000128,livestock,Jazan,Khobar,521.9,medium_truck,187.18,0.93,1,1304.74,743.6,3PL,on_time,2023-12-27 16:36:45,2023-12-28 23:36:45,4,retail
SH000129,building_materials,Makkah,Riyadh,126.3,medium_truck,464.59,2.0,1,326.03,211.56,postal_service,on_time,2025-04-29 02:39:20,2025-04-30 04:39:20,7,B2C
SH000130,building_materials,Madinah,Jazan,168.2,cargo_van,607.35,2.04,1,314.83,170.86,in_house,on_time,2024-01-24 12:20:15,2024-01-25 19:20:15,6,retail
SH000131,furniture,Abha,Tabuk,212.4,motorbike,652.23,2.79,1,237.53,120.0,3PL,on_time,2024-08-15 10:17:29,2024-08-16 15:17:29,3,retail
SH000132,cars,Riyadh,Abha,315.4,cargo_van,1802.69,4.51,1,682.98,370.7,private_courier,on_time,2025-05-29 03:21:46,2025-05-30 03:21:46,5,wholesale
SH000133,cars,Khobar,Jazan,566.4,cargo_van,1808.65,7.52,1,1173.4,593.06,3PL,on_time,2025-09-15 22:50:05,2025-09-17 01:50:05,5,retail
SH000134,electronics,Jeddah,Riyadh,330.8,cargo_van,17.0,0.1,1,620.41,309.55,in_house,on_time,2023-02-21 19:55:11,2023-02-23 00:55:11,4,B2B
SH000135,food,Makkah,Madinah,329.9,refrigerated_truck,114.16,0.69,1,1095.85,681.48,in_house,on_time,2023-09-30 20:20:11,2023-10-01 23:20:11,4,B2B
SH000136,auto_parts,Hail,Hail,8.1,cargo_van,7.95,0.02,1,61.74,33.9,3PL,in_transit,2024-02-04 04:32:20,2024-02-05 11:32:20,3,retail
SH000137,auto_parts,Jeddah,Tabuk,351.0,motorbike,43.03,0.14,1,350.99,225.2,3PL,on_time,2023-12-17 11:31:31,2023-12-18 17:31:31,2,retail
SH000138,food,Abha,Riyadh,709.8,cargo_van,78.74,0.28,2,1283.7,780.54,private_courier,delayed,2024-12-07 11:39:07,2024-12-09 16:39:07,3,retail
SH000139,livestock,Madinah,Jeddah,101.7,refrigerated_truck,275.6,1.09,1,447.58,229.89,3PL,on_time,2025-01-02 09:55:54,2025-01-03 09:55:54,3,retail
SH000140,furniture,Jeddah,Tabuk,141.3,refrigerated_truck,453.18,1.95,1,509.81,312.69,postal_service,delayed,2025-10-05 13:24:03,2025-10-06 19:24:03,5,B2C
SH000141,electronics,Riyadh,Riyadh,17.9,cargo_van,92.59,0.34,1,72.89,39.87,in_house,delayed,2023-06-30 09:17:07,2023-07-01 10:17:07,5,B2B
SH000142,electronics,Abha,Tabuk,264.3,cargo_van,123.93,0.5,1,514.93,287.73,in_house,delayed,2025-07-01 09:38:06,2025-07-02 11:38:06,5,wholesale
SH000143,food,Tabuk,Jazan,229.1,medium_truck,21.38,0.07,1,563.49,346.39,postal_service,delayed,2023-02-20 19:45:05,2023-02-22 00:45:05,6,B2B
SH000144,building_materials,Tabuk,Khobar,189.8,cargo_van,554.64,1.91,1,362.59,135.54,private_courier,delayed,2024-07-24 15:14:23,2024-07-25 23:14:23,5,retail
SH000145,general_goods,Abha,Makkah,258.8,small_van,43.86,0.16,1,348.95,157.22,private_courier,on_time,2024-12-07 09:05:32,2024-12-08 10:05:32,3,B2B
SH000146,general_goods,Riyadh,Madinah,166.1,small_van,22.11,0.07,1,234.54,115.25,3PL,in_transit,2025-05-27 00:59:33,2025-05-28 03:59:33,3,B2C
SH000147,furniture,Jazan,Khobar,161.8,small_van,247.5,1.13,1,247.11,137.95,postal_service,on_time,2023-08-18 05:13:06,2023-08-19 05:13:06,2,retail
SH000148,electronics,Dammam,Hail,377.9,cargo_van,14.38,0.04,1,723.65,450.23,3PL,on_time,2023-06-20 18:21:04,2023-06-21 18:21:04,3,B2B
SH000149,general_goods,Madinah,Khobar,341.9,heavy_truck,90.53,0.35,1,889.36,385.99,postal_service,delayed,2023-01-25 12:21:41,2023-01-26 14:21:41,4,retail
SH000150,general_goods,Dammam,Abha,239.2,heavy_truck,21.82,0.1,1,650.17,249.52,private_courier,delayed,2023-04-09 17:36:55,2023-04-11 00:36:55,2,wholesale
SH000151,auto_parts,Hail,Jazan,210.8,motorbike,70.01,0.31,1,235.11,145.23,in_house,on_time,2025-02-21 16:28:04,2025-02-22 19:28:04,2,B2C
SH000152,cars,Tabuk,Riyadh,523.9,motorbike,1514.01,9.13,2,621.7,329.31,in_house,on_time,2024-09-15 21:22:35,2024-09-18 03:22:35,6,B2C
SH000153,building_materials,Tabuk,Jeddah,53.5,motorbike,203.24,0.68,1,88.07,47.5,postal_service,on_time,2025-08-02 22:58:18,2025-08-04 00:58:18,3,B2C
SH000154,electronics,Makkah,Jazan,98.5,refrigerated_truck,43.49,0.13,1,403.27,171.92,postal_service,on_time,2024-08-14 17:08:42,2024-08-16 01:08:42,2,retail
SH000155,building_materials,Hail,Jazan,239.8,medium_truck,115.96,0.53,1,555.79,280.66,private_courier,on_time,2023-06-27 17:39:56,2023-06-29 01:39:56,1,B2B
SH000156,livestock,Tabuk,Khobar,175.4,medium_truck,129.39,0.47,1,479.93,180.52,postal_service,on_time,2024-12-05 11:39:52,2024-12-06 17:39:52,3,wholesale
